card_id,disp_id,type,issued
500,3192,Diamond,26-11-2021
4,42,Diamond,26-11-2021
388,2488,Silver,26-11-2021
164,992,Diamond,29-11-2021
489,3135,Diamond,29-11-2021
626,3992,Diamond,30-11-2021
1169,12354,Diamond,30-11-2021
1137,11771,Gold,01-11-2021
677,4382,Silver,01-11-2021
20,131,Diamond,02-11-2021
657,4246,Silver,02-11-2021
219,1329,Diamond,04-11-2021
819,5978,Gold,06-11-2021
1177,12535,Gold,06-11-2021
341,2156,Gold,06-11-2021
692,4493,Diamond,08-11-2021
715,4639,Silver,08-11-2021
131,725,Diamond,08-11-2021
201,1223,Diamond,08-11-2021
605,3874,Diamond,11-11-2021
306,1929,Diamond,11-11-2021
378,2430,Diamond,11-11-2021
549,3504,Diamond,12-11-2021
371,2388,Gold,13-11-2021
147,826,Silver,13-11-2021
527,3348,Silver,14-11-2021
172,1030,Diamond,14-11-2021
886,7325,Diamond,15-11-2021
479,3085,Diamond,16-11-2021
691,4492,Diamond,16-11-2021
560,3577,Diamond,17-11-2021
452,2910,Diamond,19-11-2021
506,3236,Gold,19-11-2021
735,4772,Diamond,19-11-2021
654,4230,Diamond,21-11-2021
196,1197,Diamond,22-11-2021
473,3063,Diamond,22-11-2021
829,6255,Diamond,22-11-2021
310,1947,Silver,23-11-2021
76,464,Diamond,23-11-2021
573,3638,Diamond,23-11-2021
240,1459,Diamond,23-11-2021
728,4725,Diamond,24-11-2021
924,7862,Diamond,24-11-2021
486,3128,Gold,25-11-2021
1081,10696,Diamond,25-11-2021
753,4974,Diamond,25-11-2021
442,2796,Diamond,26-11-2021
125,694,Gold,26-11-2021
674,4360,Diamond,28-11-2021
322,2063,Diamond,28-11-2021
685,4467,Diamond,29-11-2021
635,4083,Diamond,29-11-2021
